Time	CellId	RNTI	BWPId	SINR(dB)
1.40171	1	2	0	19.8394
1.40193	3	1	0	19.8489
1.40193	1	1	0	20.9596
1.40229	1	1	0	21.5631
1.4025	3	2	0	13.0721
1.40293	1	2	0	19.7431
1.40293	3	1	0	15.581
1.4035	1	2	0	28.8787
1.40364	3	2	0	13.3134
1.40393	1	1	0	16.5778
1.40393	3	1	0	21.7127
1.40464	3	2	0	13.0527
1.40471	1	2	0	31.8083
1.40493	3	1	0	15.7332
1.40493	1	1	0	14.1266
1.40529	1	1	0	14.9175
1.4055	3	2	0	14.8848
1.40579	3	1	0	29.2778
1.40593	1	2	0	44.5932
1.40629	1	1	0	14.8795
1.4065	3	2	0	16.6935
1.40679	3	1	0	11.6273
1.40693	1	2	0	41.7537
1.4075	3	1	0	18.1235
1.40771	1	2	0	26.0884
1.40793	3	2	0	14.9667
1.40793	1	1	0	15.4179
1.4085	1	1	0	15.0914
1.40864	3	2	0	16.1831
1.40893	1	2	0	28.7613
1.40893	3	1	0	12.6865
1.40929	1	1	0	15.8574
1.40964	3	2	0	13.9309
1.40993	1	2	0	28.3918
1.40993	3	1	0	20.3154
1.4105	1	2	0	27.18
1.4105	3	2	0	15.294
1.41093	1	1	0	15.3372
1.41093	3	1	0	12.3892
1.4115	1	2	0	29.0814
1.4115	3	1	0	23.3322
1.41193	1	1	0	16.5598
1.41193	3	2	0	15.6755
1.41229	1	1	0	18.0022
1.41236	3	1	0	14.2175
1.41293	1	2	0	27.8274
1.41293	3	2	0	11.172
1.41336	3	1	0	41.3453
1.4135	1	2	0	18.1394
1.41393	3	2	0	14.646
1.41393	1	1	0	18.5938
1.4145	1	2	0	25.7988
1.4145	3	2	0	13.9528
1.41493	1	1	0	18.5791
1.41493	3	1	0	14.1701
1.4155	1	2	0	23.8973
1.4155	3	1	0	28.609
1.41593	1	1	0	15.2522
1.41593	3	2	0	13.1895
1.4165	1	2	0	24.8039
1.4165	3	2	0	11.8967
1.41693	1	1	0	14.0788
1.41693	3	1	0	16.9747
1.4175	1	2	0	29.5923
1.4175	3	2	0	16.8698
1.41793	1	1	0	14.5483
1.41793	3	1	0	13.3256
1.4185	1	2	0	31.161
1.4185	3	2	0	12.0435
1.41893	1	1	0	16.1923
1.41893	3	1	0	17.0778
1.4195	1	2	0	20.3181
1.4195	3	2	0	12.2821
1.41993	1	1	0	19.5789
1.41993	3	1	0	16.4178
1.4205	3	2	0	14.0743
1.42064	1	2	0	21.6708
1.42093	3	1	0	14.3331
1.42093	1	1	0	23.0885
1.42157	3	2	0	11.2673
1.42164	1	2	0	25.6423
1.42186	3	1	0	17.8628
1.42193	1	1	0	33.7103
1.4225	3	1	0	11.5048
1.42257	1	2	0	29.6509
1.42293	3	2	0	14.1379
1.42293	1	1	0	22.7318
1.4235	3	2	0	12.1866
1.42357	1	2	0	35.5433
1.42393	3	1	0	18.5094
